Date,Income,Expense,time
14/01/2018,0.0,798.0,01:24:06
14/01/2018,0.0,20.0,21:58:44
14/01/2018,0.0,25.0,23:59:34
14/01/2018,0.0,199.0,01:23:49
14/01/2018,0.0,23.0,14:38:43
14/01/2018,0.0,40.0,04:49:15
14/01/2018,0.0,15.0,23:58:58
13/01/2018,0.0,740.0,19:28:44
13/01/2018,0.0,80.0,08:26:12
13/01/2018,0.0,5000.0,23:28:08
13/01/2018,0.0,5000.0,05:42:37
12/1/2018,0.0,226.0,07:14:31
12/1/2018,0.0,500.0,09:31:40
12/1/2018,0.0,20000.0,06:03:43
12/1/2018,0.0,1000.0,19:42:51
11/1/2018,0.0,42.0,08:25:39
11/1/2018,0.0,69.0,19:31:43
10/1/2018,0.0,40.0,23:52:29
9/1/2018,0.0,34.0,23:14:35
9/1/2018,0.0,69.0,00:24:29
8/1/2018,0.0,20.0,00:29:50
8/1/2018,2000.0,0.0,03:13:57
8/1/2018,0.0,1399.0,05:15:57
8/1/2018,0.0,104.0,02:49:17
8/1/2018,0.0,165.0,14:53:58
7/1/2018,0.0,20.0,15:50:32
7/1/2018,0.0,20.0,18:08:33
7/1/2018,0.0,1000.0,07:20:33
6/1/2018,0.0,810.0,19:34:13
6/1/2018,0.0,38.0,15:56:10
6/1/2018,0.0,100.0,10:35:44
6/1/2018,0.0,20.0,05:47:05
6/1/2018,0.0,69.0,20:21:35
5/1/2018,6049.0,0.0,13:29:12
4/1/2018,0.0,270.0,23:59:43
4/1/2018,0.0,130.0,17:51:09
4/1/2018,0.0,70.0,18:55:50
